id,name,2019,2020,2021,2022,2023,2024
5befab98-bc6e-4039-8315-eed54f8cce0f,Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie,715,756,740,689,696,705
aaa74363-79c4-4585-a3f5-1f369070fd0a,Akademia Kultury Społecznej i Medialnej w Toruniu - Akademia Nauk Stosowanych,326,285,279,274,324,378
c2d21f30-98bf-40f9-b0e9-3c71a2a102ea,Wyższa Szkoła Uni-Terra z siedzibą w Poznaniu,147,94,64,106,87,110
61053439-1457-4be3-88c9-5faecc430cda,Uczelnia Jana Wyżykowskiego,815,797,745,688,631,661
2499ad34-4d7a-48d2-8a89-7695b0f00427,Politechnika Morska w Szczecinie,2569,2534,2472,2514,2671,2880
eb677936-faca-4d49-9884-bc532f3c0566,Wyższa Szkoła - Edukacja w Sporcie w Warszawie,1174,1264,1308,1295,1315,1321
282be714-cb82-4078-850e-810d7003cb31,Uniwersytet Radomski im. Kazimierza Pułaskiego,4017,3811,3915,4106,4452,4916
cc955ffe-325d-431e-a7b4-1a38aed786e7,Karkonoska Akademia Nauk Stosowanych w Jeleniej Górze,713,713,710,764,750,859
c50bd2eb-f024-47a4-abb2-5f5ba6de7627,Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi,887,939,841,844,841,827
07208b1f-4d34-483a-a884-05ac93b6fcec,Uniwersytet Papieski Jana Pawła II w Krakowie,1987,2552,2751,2621,2574,2598
d0155bd9-09cf-474a-b10c-51a4b46c9d57,Uniwersytet w Białymstoku,8618,8487,8369,8177,7924,8136
1a88b2ad-f6fd-4e5a-b514-27766a21594d,Uniwersytet Warmińsko-Mazurski w Olsztynie,17643,17291,16521,15852,15545,16249
121d0612-8ad5-43d8-9621-01397f63bd2c,Bielska Wyższa Szkoła im. Józefa Tyszkiewicza w Bielsku-Białej,315,254,255,310,300,287
f3b17ba6-8d96-4eee-a245-737a6775d82d,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,2799,2670,2501,2475,2519,2773
d5634062-c6cd-422b-a8c6-a7d2e53531ce,Wyższa Szkoła Turystyki i Hotelarstwa w Gdańsku,444,405,342,334,273,263
c73ce067-e3fc-4b3d-9508-245017c26d57,Szkoła Główna Turystyki i Hotelarstwa Vistula,1229,1221,1149,976,866,801
919617f6-b49f-4075-b60b-465136e8dcb3,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,21989,20601,19421,18378,17980,18804
76e7e103-e39c-48d6-8aa2-8fde70c50563,Politechnika Gdańska,13778,14130,13298,13620,14233,14261
4ac58217-7974-49a9-b6ea-7999687d122d,Collegium Verum,54,54,28,29,58,125
7eb0fd94-35ff-4aeb-8a44-1b6f8dac892e,Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim,84,97,113,131,130,128
00f677e2-8ad1-493a-b69b-0f70d7b09c0d,Akademia Nauk Stosowanych Angelusa Silesiusa,1168,1022,965,858,799,848
dacccb40-e3e3-4113-a28e-54c4a59d550e,Uniwersytet w Siedlcach,5090,4898,4659,4477,4392,4468
01188a2d-6822-402e-9053-21ba791fac0b,Collegium Witelona Uczelnia Państwowa,2372,2452,2536,2549,2930,3206
aee66fdd-cc30-4ef1-95ea-91a5a6d168d1,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,6549,6755,6880,6862,6935,7290
ccc24230-94bd-4fab-9b88-dca9652e52c7,Akademia Nauk Stosowanych w Nowym Sączu,3277,3234,3123,2975,2951,2905
d15f532a-aa2f-488c-b592-8231d9078471,Wyższa Szkoła Umiejętności Zawodowych w Pińczowie,447,465,562,586,73,604
f4dd5e8d-c071-4ec2-a048-faf9c2aae76d,Lubelska Akademia WSEI,6173,6369,6742,7395,8281,9016
07b1296a-15ed-4caf-a2ca-1a24a57f5959,Akademia Sztuk Pięknych w Gdańsku,789,800,803,823,849,855
03ca86cb-b0f4-4a24-878b-cc6acc814ce5,Gnieźnieńska Szkoła Wyższa Milenium z siedzibą w Gnieźnie,507,542,511,466,384,399
28f45cd0-ed86-4162-baf8-d0add700e59f,Uniwersytet Medyczny w Lublinie,7092,7004,6884,6954,6902,6924
07f75f83-c25a-4520-835c-86ed2a8fa4df,Łużycka Szkoła Wyższa im. Jana Benedykta Solfy z siedzibą w Żarach,320,367,396,342,296,357
d5afbb30-c241-4c4a-b4c0-ac5660e3d385,Uniwersytet Ekonomiczny w Poznaniu,7832,7411,7485,7415,7390,7687
2cb4e33a-bb7e-4220-9821-896895006f20,Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie,5425,5267,5236,5668,5165,5280
1bcd4a1f-479c-4e2f-b014-fe9c5f03c9c5,Szkoła Główna Krajowa z siedzibą w Warszawie,746,890,1068,1090,1264,880
c2e40008-ad66-4712-8be8-e06fa7235fd2,Uniwersytet Pomorski w Słupsku,3018,3367,3299,3732,3502,3576
21ae4a90-706b-4eae-a54e-c9ae0b2bdb9b,Wyższa Szkoła Zarządzania i Przedsiębiorczości z siedzibą w Wałbrzychu,986,1425,2079,2430,2208,1691
12f4cd79-8bb8-4fce-88e5-3eec70ed5401,Wyższa Szkoła Finansów i Informatyki im. prof. Janusza Chechlińskiego w Łodzi,202,231,298,344,367,331
7e1c2a3a-90ae-40af-bd27-bb7d5df82733,Państwowa Akademia Nauk Stosowanych im. prof. Stanisława Tarnowskiego w Tarnobrzegu,751,811,944,847,808,762
fab8ffae-7bc4-4ae5-b896-7aa0f534ab93,Akademia Łomżyńska,1850,1753,1702,1578,1700,1670
794ef8e5-f723-4f79-b710-8612c20f3f6d,Politechnika Białostocka,7175,6842,6874,6772,6710,7114
b88caf64-a977-4e3e-8c24-69b626d68a5e,Wyższa Szkoła Pedagogiczno-Techniczna w Koninie,58,42,31,9,,9
62b1bfdd-fc86-44b6-8f44-098cdc87f941,Akademia Pożarnicza,2176,2118,2041,1917,1806,1835
172797e4-f3c0-41a6-a5f9-56e180ce7787,Akademia Kujawsko-Pomorska,1485,1617,1773,1811,1634,1658
aad3aebb-97ca-40f2-ba23-1ced23433435,Uczelnia Korczaka - Akademia Nauk Stosowanych,1259,1224,1406,1322,1234,1650
cf6e881c-c9b8-4769-bfcc-919201c82885,Wyższa Szkoła Zarządzania w Częstochowie,571,580,747,801,739,814
b26a6014-ae33-445c-9ff8-49216dbc5587,Politechnika Koszalińska,3863,3602,3344,3255,3196,3099
8d2fc53d-a81a-4d3b-9e33-2c92a7f652d5,Podkowiańska Wyższa Szkoła Medyczna im. Zofii i Jonasza Łyko w likwidacji,47,8,,,,
180d2805-5609-4d97-ae79-27444f690ab6,Szkoła Wyższa im. Bogdana Jańskiego w Warszawie,131,145,77,50,9,4
47e86fcb-d7b4-4631-822c-b5647a72e885,Uniwersytet Muzyczny Fryderyka Chopina w Warszawie,977,1013,1044,983,984,983
